,Model,RMSE,MSE,Correlation Coefficient,R-squared
0,Hyperparameter tuning,51.010209792742785,2602.041503099632,0.9341372104811725,0.6967486619820205
1,Default parameters,51.19023218409472,2620.439871061527,0.9274227386148952,0.6946044495645223
2,Baseline,56.32989076953376,3173.0565941076047,0.9263449894247481,0.6513060439991301
