"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-73.74","45.47","MONTREAL INTL A","7025251","2022-01-01","2022","01","01","","1.4","","-2.5","","-0.6","","18.6","","0.0","","2.0","","0.4","","2.4","","5","","2","","36",""
"-73.74","45.47","MONTREAL INTL A","7025251","2022-01-02","2022","01","02","","-2.4","","-15.0","","-8.7","","26.7","","0.0","","0.0","","5.0","","5.0","","5","","3","","35",""
"-73.74","45.47","MONTREAL INTL A","7025251","2022-01-03","2022","01","03","","-13.6","","-20.4","","-17.0","","35.0","","0.0","","0.0","","0.0","","0.0","","6","","","M","","M"
"-73.74","45.47","MONTREAL INTL A","7025251","2022-01-04","2022","01","04","","-2.9","","-17.7","","-10.3","","28.3","","0.0","","0.0","","0.0","T","0.0","T","6","","13","","32",""
"-73.74","45.47","MONTREAL INTL A","7025251","2022-01-05","2022","01","05","","2.0","","-7.1","","-2.6","","20.6","","0.0","","0.0","","0.8","","0.8","","6","","23","","50",""
"-73.74","45.47","MONTREAL INTL A","7025251","2022-01-06","2022","01","06","","1.1","","-7.2","","-3.1","","21.1","","0.0","","0.0","","0.0","T","0.0","T","6","","23","","66",""
"-73.74","45.47","MONTREAL INTL A","7025251","2022-01-07","2022","01","07","","-5.9","","-15.1","","-10.5","","28.5","","0.0","","0.0","","1.6","","1.4","","6","","26","","43",""
"-73.74","45.47","MONTREAL INTL A","7025251","2022-01-08","2022","01","08","","-8.7","","-19.4","","-14.1","","32.1","","0.0","","0.0","","0.0","","0.0","","6","","27","","40",""
"-73.74","45.47","MONTREAL INTL A","7025251","2022-01-09","2022","01","09","","2.7","","-10.9","","-4.1","","22.1","","0.0","","0.8","","2.6","","4.6","","6","","28","","69",""
"-73.74","45.47","MONTREAL INTL A","7025251","2022-01-10","2022","01","10","","-7.2","","-20.5","","-13.9","","31.9","","0.0","","0.0","","0.0","T","0.0","T","5","","28","","61",""
"-73.74","45.47","MONTREAL INTL A","7025251","2022-01-11","2022","01","11","","-15.3","","-24.9","","-20.1","","38.1","","0.0","","0.0","","0.0","T","0.0","T","5","","","M","","M"
"-73.74","45.47","MONTREAL INTL A","7025251","2022-01-12","2022","01","12","","-8.7","","-16.6","","-12.7","","30.7","","0.0","","0.0","","1.2","","1.2","","5","","13","","39",""
"-73.74","45.47","MONTREAL INTL A","7025251","2022-01-13","2022","01","13","","-7.2","","-10.0","","-8.6","","26.6","","0.0","","0.0","","2.0","","1.6","","6","","","M","","M"
"-73.74","45.47","MONTREAL INTL A","7025251","2022-01-14","2022","01","14","","-6.8","","-22.7","","-14.8","","32.8","","0.0","","0.0","","0.0","T","0.0","T","7","","35","","42",""
"-73.74","45.47","MONTREAL INTL A","7025251","2022-01-15","2022","01","15","","-19.4","","-25.7","","-22.6","","40.6","","0.0","","0.0","","0.0","","0.0","","7","","27","","36",""
"-73.74","45.47","MONTREAL INTL A","7025251","2022-01-16","2022","01","16","","-13.1","","-24.5","","-18.8","","36.8","","0.0","","0.0","","0.0","","0.0","","","","2","","31",""
"-73.74","45.47","MONTREAL INTL A","7025251","2022-01-17","2022","01","17","","-3.3","","-16.9","","-10.1","","28.1","","0.0","","0.0","","16.4","","16.4","","7","","3","","63",""
"-73.74","45.47","MONTREAL INTL A","7025251","2022-01-18","2022","01","18","","-6.8","","-22.1","","-14.5","","32.5","","0.0","","0.0","","0.0","T","0.0","T","11","","28","","50",""
"-73.74","45.47","MONTREAL INTL A","7025251","2022-01-19","2022","01","19","","-6.4","","-16.6","","-11.5","","29.5","","0.0","","0.0","","5.6","","5.6","","11","","33","","41",""
"-73.74","45.47","MONTREAL INTL A","7025251","2022-01-20","2022","01","20","","-6.2","","-23.5","","-14.9","","32.9","","0.0","","0.0","","0.0","T","0.0","T","12","","31","","41",""
"-73.74","45.47","MONTREAL INTL A","7025251","2022-01-21","2022","01","21","","-18.2","","-26.4","","-22.3","","40.3","","0.0","","0.0","","0.0","T","0.0","T","11","","","M","","M"
"-73.74","45.47","MONTREAL INTL A","7025251","2022-01-22","2022","01","22","","-16.3","","-26.7","","-21.5","","39.5","","0.0","","0.0","","0.0","T","0.0","T","11","","","M","","M"
"-73.74","45.47","MONTREAL INTL A","7025251","2022-01-23","2022","01","23","","-8.1","","-22.5","","-15.3","","33.3","","0.0","","0.0","","0.2","","0.2","","11","","27","","36",""
"-73.74","45.47","MONTREAL INTL A","7025251","2022-01-24","2022","01","24","","-12.5","","-25.7","","-19.1","","37.1","","0.0","","0.0","","0.6","","0.6","","11","","","M","","M"
"-73.74","45.47","MONTREAL INTL A","7025251","2022-01-25","2022","01","25","","-10.2","","-18.1","","-14.2","","32.2","","0.0","","0.0","","0.2","","0.2","","10","","24","","32",""
"-73.74","45.47","MONTREAL INTL A","7025251","2022-01-26","2022","01","26","","-17.3","","-24.2","","-20.8","","38.8","","0.0","","0.0","","0.0","","0.0","","10","","","M","","M"
"-73.74","45.47","MONTREAL INTL A","7025251","2022-01-27","2022","01","27","","-5.4","","-20.9","","-13.2","","31.2","","0.0","","0.0","","2.4","","2.4","","10","","","M","","M"
"-73.74","45.47","MONTREAL INTL A","7025251","2022-01-28","2022","01","28","","-4.0","","-21.9","","-13.0","","31.0","","0.0","","0.0","","1.0","","1.0","","13","","30","","39",""
"-73.74","45.47","MONTREAL INTL A","7025251","2022-01-29","2022","01","29","","-12.4","","-21.7","","-17.1","","35.1","","0.0","","0.0","","0.0","T","0.0","T","14","","2","","49",""
"-73.74","45.47","MONTREAL INTL A","7025251","2022-01-30","2022","01","30","","-10.7","","-21.9","","-16.3","","34.3","","0.0","","0.0","","0.0","","0.0","","14","","25","","32",""
"-73.74","45.47","MONTREAL INTL A","7025251","2022-01-31","2022","01","31","","-7.4","","-18.4","","-12.9","","30.9","","0.0","","0.0","","0.0","","0.0","","14","","","M","","M"
"-73.74","45.47","MONTREAL INTL A","7025251","2022-02-01","2022","02","01","","-0.7","","-17.5","","-9.1","","27.1","","0.0","","0.0","","0.0","","0.0","","14","","16","","51",""
"-73.74","45.47","MONTREAL INTL A","7025251","2022-02-02","2022","02","02","","4.5","","-1.3","","1.6","","16.4","","0.0","","2.2","","0.0","","2.2","","14","","15","","44",""
"-73.74","45.47","MONTREAL INTL A","7025251","2022-02-03","2022","02","03","","1.5","","-11.2","","-4.9","","22.9","","0.0","","3.6","","8.6","","12.2","","12","","2","","41",""
"-73.74","45.47","MONTREAL INTL A","7025251","2022-02-04","2022","02","04","","-11.1","","-13.5","","-12.3","","30.3","","0.0","","0.0","","6.0","","6.0","","16","","2","","53",""
"-73.74","45.47","MONTREAL INTL A","7025251","2022-02-05","2022","02","05","","-11.9","","-19.8","","-15.9","","33.9","","0.0","","0.0","","0.0","T","0.0","T","18","","27","","49",""
"-73.74","45.47","MONTREAL INTL A","7025251","2022-02-06","2022","02","06","","-6.7","","-21.4","","-14.1","","32.1","","0.0","","0.0","","0.0","T","0.0","T","18","","12","","36",""
"-73.74","45.47","MONTREAL INTL A","7025251","2022-02-07","2022","02","07","","-0.9","","-12.2","","-6.6","","24.6","","0.0","","0.0","","0.0","T","0.0","T","18","","","M","","M"
"-73.74","45.47","MONTREAL INTL A","7025251","2022-02-08","2022","02","08","","-1.8","","-8.6","","-5.2","","23.2","","0.0","","0.0","","0.0","T","0.0","T","16","","","M","","M"
"-73.74","45.47","MONTREAL INTL A","7025251","2022-02-09","2022","02","09","","1.5","","-8.7","","-3.6","","21.6","","0.0","","0.0","","0.0","","0.0","","16","","14","","40",""
"-73.74","45.47","MONTREAL INTL A","7025251","2022-02-10","2022","02","10","","3.3","","0.6","","2.0","","16.0","","0.0","","0.6","","0.4","","1.0","","15","","22","","49",""
"-73.74","45.47","MONTREAL INTL A","7025251","2022-02-11","2022","02","11","","5.3","","-0.2","","2.6","","15.4","","0.0","","0.8","","0.0","","0.8","","12","","14","","41",""
"-73.74","45.47","MONTREAL INTL A","7025251","2022-02-12","2022","02","12","","4.1","","-15.2","","-5.6","","23.6","","0.0","","1.6","","0.0","T","1.6","","9","","23","","69",""
"-73.74","45.47","MONTREAL INTL A","7025251","2022-02-13","2022","02","13","","-14.4","","-20.6","","-17.5","","35.5","","0.0","","0.0","","0.0","","0.0","","8","","2","","37",""
"-73.74","45.47","MONTREAL INTL A","7025251","2022-02-14","2022","02","14","","-11.9","","-17.2","","-14.6","","32.6","","0.0","","0.0","","0.0","T","0.0","T","8","","26","","40",""
"-73.74","45.47","MONTREAL INTL A","7025251","2022-02-15","2022","02","15","","-8.6","","-16.7","","-12.7","","30.7","","0.0","","0.0","","0.0","T","0.0","T","8","","26","","37",""
"-73.74","45.47","MONTREAL INTL A","7025251","2022-02-16","2022","02","16","","4.0","","-13.1","","-4.6","","22.6","","0.0","","0.0","T","0.0","","0.0","T","8","","16","","60",""
"-73.74","45.47","MONTREAL INTL A","7025251","2022-02-17","2022","02","17","","6.6","","-4.4","","1.1","","16.9","","0.0","","27.6","","4.4","","32.0","","4","","3","","59",""
"-73.74","45.47","MONTREAL INTL A","7025251","2022-02-18","2022","02","18","","-4.3","","-17.4","","-10.9","","28.9","","0.0","","0.0","","14.6","","14.6","","12","","36","","53",""
"-73.74","45.47","MONTREAL INTL A","7025251","2022-02-19","2022","02","19","","-1.0","","-15.1","","-8.1","","26.1","","0.0","","0.0","","6.0","","6.0","","14","","27","","64",""
"-73.74","45.47","MONTREAL INTL A","7025251","2022-02-20","2022","02","20","","4.7","","-18.1","","-6.7","","24.7","","0.0","","0.0","","0.0","","0.0","","14","","15","","47",""
"-73.74","45.47","MONTREAL INTL A","7025251","2022-02-21","2022","02","21","","4.6","","-8.9","","-2.2","","20.2","","0.0","","0.0","","0.0","","0.0","","9","","4","","54",""
"-73.74","45.47","MONTREAL INTL A","7025251","2022-02-22","2022","02","22","","-1.6","","-9.7","","-5.7","","23.7","","0.0","","12.2","","1.4","","15.0","","8","","4","","56",""
"-73.74","45.47","MONTREAL INTL A","7025251","2022-02-23","2022","02","23","","3.5","","-13.3","","-4.9","","22.9","","0.0","","0.4","","0.0","T","0.4","","11","","26","","88",""
"-73.74","45.47","MONTREAL INTL A","7025251","2022-02-24","2022","02","24","","-9.2","","-16.4","","-12.8","","30.8","","0.0","","0.0","","0.0","","0.0","","11","","","M","","M"
"-73.74","45.47","MONTREAL INTL A","7025251","2022-02-25","2022","02","25","","-11.1","","-16.9","","-14.0","","32.0","","0.0","","0.0","","11.2","","11.2","","11","","5","","57",""
"-73.74","45.47","MONTREAL INTL A","7025251","2022-02-26","2022","02","26","","-4.2","","-19.3","","-11.8","","29.8","","0.0","","0.0","","0.0","","0.0","","16","","23","","49",""
"-73.74","45.47","MONTREAL INTL A","7025251","2022-02-27","2022","02","27","","-0.3","","-13.8","","-7.1","","25.1","","0.0","","0.0","","1.4","","1.4","","14","","30","","62",""
"-73.74","45.47","MONTREAL INTL A","7025251","2022-02-28","2022","02","28","","-11.3","","-18.0","","-14.7","","32.7","","0.0","","0.0","","0.0","","0.0","","12","","25","","39",""
"-73.74","45.47","MONTREAL INTL A","7025251","2022-03-01","2022","03","01","","-7.9","","-14.5","","-11.2","","29.2","","0.0","","0.0","","8.8","","8.4","","11","","4","","33",""
"-73.74","45.47","MONTREAL INTL A","7025251","2022-03-02","2022","03","02","","-3.5","","-13.8","","-8.7","","26.7","","0.0","","0.0","","1.4","","1.4","","18","","22","","33",""
"-73.74","45.47","MONTREAL INTL A","7025251","2022-03-03","2022","03","03","","-6.2","","-17.6","","-11.9","","29.9","","0.0","","0.0","","0.0","T","0.0","T","19","","28","","46",""
