"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-01-01","2019","01","01","","2.4","","-12.3","","-5.0","","23.0","","0.0","","16.8","","0.2","","17.0","","0","T","29","","52",""
"-73.74","45.47","MONTREAL INTL A","7025251","2019-01-02","2019","01","02","","-9.4","","-15.6","","-12.5","","30.5","","0.0","","0.0","","0.4","","0.4","","0","T","","M","","M"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-01-03","2019","01","03","","-1.5","","-14.1","","-7.8","","25.8","","0.0","","0.0","","4.6","","4.6","","4","","2","","32",""
"-73.74","45.47","MONTREAL INTL A","7025251","2019-01-04","2019","01","04","","2.5","","-1.7","","0.4","","17.6","","0.0","","0.0","","3.0","","3.0","","6","","23","","48",""
"-73.74","45.47","MONTREAL INTL A","7025251","2019-01-05","2019","01","05","","2.3","","0.0","","1.2","","16.8","","0.0","","0.0","T","0.0","","0.0","T","1","E","","M","","M"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-01-06","2019","01","06","","1.3","","-13.0","","-5.9","","23.9","","0.0","","0.0","","0.4","","0.4","","1","","30","","46",""
"-73.74","45.47","MONTREAL INTL A","7025251","2019-01-07","2019","01","07","","-8.4","","-16.5","","-12.5","","30.5","","0.0","","0.0","","4.6","","4.6","","1","","7","","39",""
"-73.74","45.47","MONTREAL INTL A","7025251","2019-01-08","2019","01","08","","0.9","","-8.7","","-3.9","","21.9","","0.0","","0.0","","5.8","","6.8","","5","","15","","59",""
"-73.74","45.47","MONTREAL INTL A","7025251","2019-01-09","2019","01","09","","1.3","","-3.0","","-0.9","","18.9","","0.0","","0.0","","0.2","","0.2","","4","","2","","39",""
"-73.74","45.47","MONTREAL INTL A","7025251","2019-01-10","2019","01","10","","-2.7","","-13.0","","-7.9","","25.9","","0.0","","0.0","","1.2","","1.2","","5","","27","","54",""
"-73.74","45.47","MONTREAL INTL A","7025251","2019-01-11","2019","01","11","","-12.9","","-18.8","","-15.9","","33.9","","0.0","","0.0","","0.0","T","0.0","T","4","","25","","50",""
"-73.74","45.47","MONTREAL INTL A","7025251","2019-01-12","2019","01","12","","-13.6","","-19.1","","-16.4","","34.4","","0.0","","0.0","","0.0","","0.0","","4","","26","","37",""
"-73.74","45.47","MONTREAL INTL A","7025251","2019-01-13","2019","01","13","","-10.8","","-19.9","","-15.4","","33.4","","0.0","","0.0","","0.0","T","0.0","T","4","","","M","","M"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-01-14","2019","01","14","","-8.0","","-18.7","","-13.4","","31.4","","0.0","","0.0","","0.0","T","0.0","T","4","","","M","","M"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-01-15","2019","01","15","","-1.3","","-8.0","","-4.7","","22.7","","0.0","","0.0","","0.6","","0.6","","4","","","M","","M"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-01-16","2019","01","16","","1.4","","-17.7","","-8.2","","26.2","","0.0","","0.0","","0.6","","0.6","","4","","24","","67",""
