,code,name,latitude,longitude
98,6275,Chambord / Jean-Talon,45.544828,-73.610458
99,6047,University / Prince-Arthur,45.50766169576538,-73.57885992183583
100,6180,Place de la paix ( Pl. du marché / St-Dominique ),45.5096853,-73.56231675
101,6904,Fabre / Beaubien,45.542055,-73.597793
102,6269,Bercy / Ontario,45.53431097726852,-73.54996919631958
103,6249,Bélanger / St-Denis,45.53696,-73.61199
104,6155,Garnier / du Mont-Royal,45.53092,-73.57674
105,6015,Berri / de Maisonneuve,45.515299,-73.561273
106,6368,10e avenue / Masson,45.55031640880025,-73.57335805892944
107,6087,Notre-Dame / de la Montagne,45.49302901258371,-73.56481790542603
108,6039,McGill / des Récollets,45.500779,-73.558826
109,6083,Square Phillips,45.50409488772675,-73.56869637966156
110,6134,Gascon / Rachel,45.537964,-73.562643
111,6001,Hôtel-de-Ville 2 (du Champs-de-Mars / Gosford),45.50931028555171,-73.55443105101585
112,6174,Roy / St-Denis,45.51908,-73.5727
113,6078,de Maisonneuve / de Bleury,45.50708,-73.56917
114,6048,Queen / Ottawa,45.4979738,-73.55614096
115,6014,St-Denis / de Maisonneuve,45.513917296074005,-73.56076508760452
116,6179,Duluth / St-Denis,45.52060423232697,-73.57598394155502
117,6191,St-Zotique / Clark,45.531401,-73.612674
118,6194,Tupper / Atwater,45.48885477417901,-73.58359336853027
119,6003,Evans / Clark,45.511119,-73.567974
120,6053,Belmont / Beaver Hall,45.502326,-73.565138
121,6215,St-Cuthbert / St-Urbain,45.51494,-73.57821
122,6032,Métro Place-d'Armes (Viger / St-Urbain),45.50623,-73.55976
123,6091,Joseph Manceau / René-Lévesque,45.49172173024755,-73.57688951320596
124,6202,Ste-Famille / Sherbrooke,45.510016,-73.570654
125,6322,St-Dominique / Villeray,45.537813,-73.624872
126,6224,Villeneuve / du Parc,45.51829,-73.59235
127,6205,Milton / du Parc,45.50971,-73.57354
128,6424,Président-Kennedy / McGill College,45.503063,-73.573986
129,6016,Jacques-Le Ber / de la Pointe Nord,45.472503,-73.539285
130,6173,Berri / Cherrier,45.5191458,-73.5692414
131,6027,de Maisonneuve / Mansfield,45.5022921,-73.57325211
132,6274,de la Roche / St-Joseph,45.531164,-73.583695
133,6104,Wolfe / René-Lévesque,45.516872646826776,-73.55417490005493
134,6207,Ste-Famille / des Pins,45.51281294953485,-73.57701659202576
135,6127,Henri-Julien / de Castelneau,45.537877,-73.618323
136,6105,Plessis / René-Lévesque,45.519376,-73.55195135
137,6145,du Parc-La Fontaine / Duluth,45.52456565105688,-73.57207864522934
138,6181,Clark / Rachel,45.5173538,-73.58212888
139,6043,Square Victoria,45.50206,-73.56295
140,6009,Ste-Catherine / St-Hubert,45.51533014906273,-73.55914771556854
141,6403,Georges-Vanier / Notre-Dame,45.4848591377443,-73.5715851187706
142,6332,de Gaspé / de Liège,45.542579,-73.636557
143,6036,de la Commune / St-Sulpice,45.5042453,-73.55354458
144,6186,St-André / Laurier,45.52955900967215,-73.5876018932322
145,6413,Square Phillips 2,45.50345009602768,-73.56840401887894
