,code,name,latitude,longitude,distance_to_center,stations_cluster
64,6142,Calixa-Lavallée / Rachel,45.527791,-73.572056,2.520450399418137,32
65,6147,Calixa-Lavallée / Sherbrooke,45.52479,-73.56545,1.9734591828429047,28
66,6395,Pierre-de-Coubertin / Aird,45.55896,-73.548687,5.580583875212112,11
67,6152,Chabot / du Mont-Royal,45.53413436610843,-73.57349216938019,3.1835182106192907,32
68,6138,Gauthier / De Lorimier,45.531818,-73.565317,2.6919290427439626,2
69,6276,Chambord / Bélanger,45.542983030174845,-73.6063814163208,5.5569434468608625,42
70,6019,Berri / Sherbrooke,45.5179101,-73.56714338,1.4234548407113423,28
71,6012,Métro St-Laurent (de Maisonneuve / St-Laurent),45.51066,-73.56497,0.864022541100186,28
72,6034,St-Urbain / René-Lévesque,45.5079,-73.563112,0.70520881498386,14
73,6057,Peel / avenue des Canadiens de Montréal,45.497697,-73.568646,1.6787535980551052,41
74,6085,Notre-Dame / Peel,45.4952,-73.56328,1.6785303367011275,41
75,6140,Marquette / Rachel,45.5298015824607,-73.5702896118164,2.6413932335609043,32
76,6902,Montcalm / Ontario,45.5210937,-73.56225103,1.4953143084900777,28
77,6175,St-André / Cherrier,45.520578,-73.567733,1.6743461773380772,28
78,6141,de Bordeaux / Rachel,45.53227,-73.56828,2.8211265793249147,32
79,6154,Marquette / du Mont-Royal,45.53229,-73.57544,3.0832208964527297,32
80,6268,Chambord / Beaubien,45.539932183126695,-73.59934329986572,4.926630817312946,42
81,6906,de St-Vallier / Rosemont,45.5319173,-73.59798342,4.264730983363486,46
82,6153,Cartier / Marie-Anne,45.532674,-73.571776,2.9776429558876027,32
83,6088,Guy / Notre-Dame,45.489951,-73.567091,2.332751473348768,41
84,6165,Brébeuf / Laurier,45.53248,-73.58507,3.5584370447358107,32
85,6114,Métro Papineau (Cartier / Ste-Catherine),45.52353,-73.55199,1.6359003124971883,2
86,6118,Champlain / Ontario,45.52504753729988,-73.56003552675247,1.8529582827124187,2
87,6117,Robin / de la Visitation,45.52087,-73.55922,1.3884205520161594,28
88,6201,Villeneuve / de l'Hôtel-de-Ville,45.52352540631033,-73.58750939369202,3.063701015647727,19
89,6235,St-Dominique / St-Viateur,45.52654331973003,-73.59823286533356,3.952471527218616,46
90,6183,Laval / du Mont-Royal,45.52241290921658,-73.58412981033325,2.7753012534389843,19
91,6267,de Bordeaux / Beaubien,45.54475,-73.5949,5.092897703540524,10
92,6414,Laporte / Guay,45.48007342327107,-73.58547896146774,4.025181357609598,27
93,6314,de Lanaudière / Marie-Anne,45.529219,-73.574777,2.7712021529671493,32
94,6182,de Bullion / du Mont-Royal,45.5215,-73.5851,2.786747552899171,19
95,6273,Cartier / Bélanger,45.546939,-73.602616,5.666187422561857,42
96,6166,Brébeuf / St-Grégoire,45.5341,-73.58852,3.873421236130592,10
97,6109,Quai de la navette fluviale,45.51341276005555,-73.53825330734253,1.3373717450446134,23
98,6275,Chambord / Jean-Talon,45.544828,-73.610458,5.929215820653093,42
99,6047,University / Prince-Arthur,45.50766169576538,-73.57885992183583,1.9278373645580924,45
100,6180,Place de la paix ( Pl. du marché / St-Dominique ),45.5096853,-73.56231675,0.6408225578753451,28
101,6904,Fabre / Beaubien,45.542055,-73.597793,5.011988734267034,42
102,6269,Bercy / Ontario,45.53431097726852,-73.54996919631958,2.8439739888793767,2
103,6249,Bélanger / St-Denis,45.53696,-73.61199,5.477096405990395,17
104,6155,Garnier / du Mont-Royal,45.53092,-73.57674,3.0138389518217537,32
105,6015,Berri / de Maisonneuve,45.515299,-73.561273,0.9020816851864261,28
106,6368,10e avenue / Masson,45.55031640880025,-73.57335805892944,4.8400789185620825,34
107,6087,Notre-Dame / de la Montagne,45.49302901258371,-73.56481790542603,1.9478192982729505,41
108,6039,McGill / des Récollets,45.500779,-73.558826,0.9714253170692734,14
109,6083,Square Phillips,45.50409488772675,-73.56869637966156,1.2506356247475763,45
110,6134,Gascon / Rachel,45.537964,-73.562643,3.2977747108256814,43
111,6001,Hôtel-de-Ville 2 (du Champs-de-Mars / Gosford),45.50931028555171,-73.55443105101585,0.051234229548729616,14
112,6174,Roy / St-Denis,45.51908,-73.5727,1.834513342844564,26
113,6078,de Maisonneuve / de Bleury,45.50708,-73.56917,1.1855457412078074,45
114,6048,Queen / Ottawa,45.4979738,-73.55614096,1.2225468919465197,14
115,6014,St-Denis / de Maisonneuve,45.513917296074005,-73.56076508760452,0.7591776525092228,28
116,6179,Duluth / St-Denis,45.52060423232697,-73.57598394155502,2.140373517901091,26
117,6191,St-Zotique / Clark,45.531401,-73.612674,5.197158698767145,17
118,6194,Tupper / Atwater,45.48885477417901,-73.58359336853027,3.1952028519507074,8
119,6003,Evans / Clark,45.511119,-73.567974,1.103429305173506,28
120,6053,Belmont / Beaver Hall,45.502326,-73.565138,1.1232939419790533,14
121,6215,St-Cuthbert / St-Urbain,45.51494,-73.57821,1.989403736292013,26
122,6032,Métro Place-d'Armes (Viger / St-Urbain),45.50623,-73.55976,0.5262767598507628,14
123,6091,Joseph Manceau / René-Lévesque,45.49172173024755,-73.57688951320596,2.6021527799168482,8
124,6202,Ste-Famille / Sherbrooke,45.510016,-73.570654,1.290038449155684,45
125,6322,St-Dominique / Villeray,45.537813,-73.624872,6.374546329850549,29
126,6224,Villeneuve / du Parc,45.51829,-73.59235,3.1515291906865124,19
127,6205,Milton / du Parc,45.50971,-73.57354,1.5114497808749954,45
128,6424,Président-Kennedy / McGill College,45.503063,-73.573986,1.6737465812583159,45
129,6016,Jacques-Le Ber / de la Pointe Nord,45.472503,-73.539285,4.2062117969538315,40
130,6173,Berri / Cherrier,45.5191458,-73.5692414,1.636230876895911,26
131,6027,de Maisonneuve / Mansfield,45.5022921,-73.57325211,1.6572649327573297,45
132,6274,de la Roche / St-Joseph,45.531164,-73.583695,3.378383367516003,32
133,6104,Wolfe / René-Lévesque,45.516872646826776,-73.55417490005493,0.8872949979402784,28
134,6207,Ste-Famille / des Pins,45.51281294953485,-73.57701659202576,1.8320561931338664,26
135,6127,Henri-Julien / de Castelneau,45.537877,-73.618323,5.943647529817608,17
136,6105,Plessis / René-Lévesque,45.519376,-73.55195135,1.17818117563362,28
137,6145,du Parc-La Fontaine / Duluth,45.52456565105688,-73.57207864522934,2.231676178982614,32
138,6181,Clark / Rachel,45.5173538,-73.58212888,2.3719456457510013,26
139,6043,Square Victoria,45.50206,-73.56295,1.021575353598142,14
140,6009,Ste-Catherine / St-Hubert,45.51533014906273,-73.55914771556854,0.8142015857481653,28
141,6403,Georges-Vanier / Notre-Dame,45.4848591377443,-73.5715851187706,2.9951274271520405,31
142,6332,de Gaspé / de Liège,45.542579,-73.636557,7.426996154008218,29
143,6036,de la Commune / St-Sulpice,45.5042453,-73.55354458,0.5181927596743168,14
