iter	Passed	Remaining
404	8447	12411
405	8468	12390
406	8489	12368
407	8509	12347
408	8530	12327
409	8549	12303
410	8571	12284
411	8593	12263
412	8609	12236
413	8632	12218
414	8651	12195
415	8672	12174
416	8690	12149
417	8710	12128
418	8727	12101
419	8749	12082
420	8768	12058
421	8785	12033
422	8806	12012
423	8827	11992
424	8847	11970
425	8870	11951
426	8890	11930
427	8905	11901
428	8925	11880
429	8944	11856
430	8967	11839
431	8984	11813
432	9000	11785
433	9017	11760
434	9040	11742
435	9060	11720
436	9081	11699
437	9100	11676
438	9117	11650
439	9136	11628
440	9156	11606
441	9178	11587
442	9199	11567
443	9219	11545
444	9238	11522
445	9258	11500
446	9281	11482
447	9298	11457
448	9317	11434
449	9335	11409
450	9353	11386
451	9380	11372
452	9400	11351
453	9430	11341
454	9454	11324
455	9477	11305
456	9500	11288
457	9524	11270
458	9549	11255
459	9567	11231
460	9591	11214
461	9613	11194
462	9631	11170
463	9657	11156
464	9675	11132
465	9700	11115
466	9722	11096
467	9747	11079
468	9771	11062
469	9794	11044
470	9816	11025
471	9834	11001
472	9853	10977
473	9877	10961
474	9898	10940
475	9922	10923
476	9942	10901
477	9960	10877
478	9978	10853
479	9992	10825
480	10009	10800
481	10026	10775
482	10044	10751
483	10061	10726
484	10084	10707
485	10105	10687
486	10123	10663
487	10149	10648
488	10172	10629
489	10192	10608
490	10216	10591
491	10239	10572
492	10263	10555
493	10284	10534
494	10302	10510
495	10325	10491
496	10346	10471
497	10364	10447
498	10382	10424
499	10405	10405
500	10430	10388
501	10450	10367
502	10470	10345
503	10488	10321
504	10504	10296
505	10524	10275
506	10543	10252
507	10565	10233
508	10589	10215
509	10612	10196
510	10635	10177
511	10653	10154
512	10670	10129
513	10693	10110
514	10710	10086
515	10731	10066
516	10751	10043
517	10772	10023
518	10794	10003
519	10814	9982
520	10835	9961
521	10853	9939
522	10873	9917
523	10888	9890
524	10928	9887
525	10972	9887
526	10994	9868
527	11014	9846
528	11033	9823
529	11052	9801
530	11070	9777
531	11091	9756
532	11113	9737
533	11133	9715
534	11155	9696
535	11179	9677
536	11200	9657
537	11222	9637
538	11244	9617
539	11263	9594
540	11287	9576
541	11307	9555
542	11327	9533
543	11349	9513
544	11367	9490
545	11387	9468
546	11408	9447
547	11430	9427
548	11445	9402
549	11467	9382
550	11488	9362
551	11512	9343
552	11534	9323
553	11555	9303
554	11576	9282
555	11597	9261
556	11623	9244
557	11644	9224
558	11662	9200
559	11681	9178
560	11704	9158
561	11724	9137
562	11740	9112
563	11762	9093
564	11780	9070
565	11803	9050
566	11829	9033
567	11847	9010
568	11872	8992
569	11893	8972
570	11913	8951
571	11936	8931
572	11956	8909
573	11978	8889
574	11999	8869
575	12019	8847
576	12045	8830
577	12065	8809
578	12083	8786
579	12107	8767
580	12129	8747
581	12153	8728
582	12174	8708
583	12198	8689
584	12219	8668
585	12242	8649
586	12265	8629
587	12284	8607
588	12305	8586
589	12327	8566
590	12344	8542
591	12363	8520
592	12383	8499
593	12403	8477
594	12421	8454
595	12439	8431
596	12459	8410
597	12479	8389
598	12503	8370
599	12525	8350
600	12546	8329
601	12563	8306
602	12583	8284
603	12605	8264
604	12626	8243
605	12646	8222
606	12664	8199
607	12687	8180
608	12711	8161
609	12735	8142
610	12756	8121
611	12777	8100
612	12799	8080
613	12822	8061
614	12843	8040
615	12867	8021
616	12889	8001
617	12911	7981
618	12930	7958
619	12951	7938
620	12972	7917
621	12994	7896
622	13015	7876
623	13036	7855
624	13057	7834
625	13076	7812
626	13098	7792
627	13116	7769
628	13133	7746
629	13153	7725
630	13173	7703
631	13192	7681
632	13210	7659
633	13228	7636
634	13246	7614
635	13270	7594
636	13293	7575
637	13316	7555
638	13343	7538
639	13367	7519
640	13385	7496
641	13409	7477
642	13423	7452
643	13440	7429
644	13460	7408
645	13479	7386
646	13496	7363
647	13522	7345
648	13545	7326
649	13568	7305
650	13591	7286
651	13612	7265
652	13631	7243
653	13656	7224
654	13675	7203
655	13700	7184
656	13723	7164
657	13744	7143
658	13768	7124
659	13792	7105
660	13813	7084
661	13831	7061
662	13851	7040
663	13869	7018
664	13888	6996
665	13909	6975
666	13934	6956
667	13955	6935
668	13977	6915
669	14000	6895
670	14021	6875
671	14043	6854
672	14069	6836
673	14085	6812
674	14107	6792
675	14131	6772
676	14153	6752
677	14171	6730
678	14194	6710
679	14214	6689
680	14235	6668
681	14254	6646
682	14276	6626
683	14300	6606
684	14321	6585
685	14344	6565
686	14367	6545
687	14391	6526
688	14408	6503
689	14429	6482
690	14447	6460
691	14467	6439
692	14485	6417
693	14507	6396
694	14524	6374
695	14546	6353
696	14571	6334
697	14592	6313
698	14614	6293
699	14633	6271
700	14652	6249
701	14673	6229
702	14691	6206
703	14708	6184
704	14730	6163
705	14748	6141
706	14771	6121
707	14789	6099
708	14807	6077
709	14825	6055
710	14844	6033
711	14863	6012
712	14881	5990
713	14901	5968
714	14920	5947
715	14941	5926
716	14969	5908
717	14985	5885
718	15010	5866
719	15029	5844
720	15054	5825
721	15076	5805
722	15100	5785
723	15121	5764
724	15143	5744
725	15161	5722
726	15182	5701
727	15204	5680
728	15223	5659
729	15242	5637
730	15264	5617
731	15287	5596
732	15310	5576
733	15333	5557
734	15349	5534
735	15366	5511
736	15384	5489
737	15406	5469
738	15426	5448
739	15446	5427
740	15476	5409
741	15497	5388
742	15517	5367
743	15534	5345
744	15552	5323
745	15568	5300
746	15587	5279
747	15611	5259
748	15634	5239
749	15658	5219
750	15677	5197
751	15698	5177
752	15721	5156
753	15745	5137
754	15765	5116
755	15783	5094
756	15808	5074
757	15830	5054
758	15848	5032
759	15865	5010
760	15886	4989
761	15906	4968
762	15925	4946
763	15947	4926
764	15964	4904
765	15983	4882
766	16004	4861
767	16024	4840
768	16046	4820
769	16064	4798
770	16088	4778
771	16105	4756
772	16126	4735
773	16147	4714
774	16166	4693
775	16185	4672
776	16204	4650
777	16221	4628
778	16245	4608
779	16268	4588
780	16293	4568
781	16313	4547
782	16332	4526
783	16349	4504
784	16371	4483
785	16393	4463
786	16411	4441
787	16429	4420
788	16453	4400
789	16477	4380
790	16496	4358
791	16519	4338
792	16543	4318
793	16564	4297
794	16586	4277
795	16608	4256
796	16629	4235
797	16649	4214
798	16669	4193
799	16693	4173
800	16710	4151
801	16740	4132
802	16768	4113
803	16840	4105
804	16864	4085
805	16892	4065
806	16911	4044
807	16933	4023
808	16956	4003
809	16976	3982
810	16997	3961
811	17021	3941
812	17043	3920
813	17063	3898
814	17082	3877
815	17104	3856
816	17128	3836
817	17149	3815
818	17169	3794
819	17187	3772
820	17207	3751
821	17227	3730
822	17251	3710
823	17273	3689
824	17290	3667
825	17310	3646
826	17334	3626
827	17352	3604
828	17374	3583
829	17391	3562
830	17411	3540
831	17431	3519
832	17451	3498
833	17472	3477
834	17491	3456
835	17511	3435
836	17528	3413
837	17551	3392
838	17568	3371
839	17585	3349
840	17603	3328
841	17622	3306
842	17641	3285
843	17661	3264
844	17680	3243
845	17700	3222
846	17717	3200
847	17741	3180
848	17765	3159
849	17784	3138
850	17804	3117
851	17823	3096
852	17847	3075
853	17868	3054
854	17894	3034
855	17914	3013
856	17938	2993
857	17959	2972
858	17982	2951
859	18001	2930
860	18023	2909
861	18042	2888
862	18062	2867
863	18084	2846
864	18104	2825
865	18122	2804
866	18139	2782
867	18162	2762
868	18180	2740
869	18200	2719
870	18221	2698
871	18242	2677
872	18260	2656
873	18282	2635
874	18300	2614
875	18318	2593
876	18339	2572
877	18357	2550
878	18380	2530
879	18402	2509
880	18422	2488
881	18444	2467
882	18465	2446
883	18488	2426
884	18508	2405
885	18530	2384
886	18548	2363
887	18571	2342
888	18596	2321
889	18617	2301
890	18637	2280
891	18657	2258
892	18683	2238
893	18707	2218
894	18727	2197
895	18744	2175
896	18762	2154
897	18784	2133
898	18808	2113
899	18827	2091
900	18850	2071
901	18870	2050
902	18895	2029
903	18919	2009
904	18939	1988
905	18957	1966
906	18977	1945
907	18998	1924
908	19018	1903
909	19035	1882
910	19057	1861
911	19076	1840
912	19094	1819
913	19112	1798
914	19132	1777
915	19151	1756
916	19169	1735
917	19191	1714
918	19209	1693
919	19249	1673
920	19278	1653
921	19305	1633
922	19325	1612
923	19346	1591
924	19368	1570
925	19393	1549
926	19413	1528
927	19437	1508
928	19461	1487
929	19486	1466
930	19503	1445
931	19526	1424
932	19544	1403
933	19566	1382
934	19587	1361
935	19607	1340
936	19631	1319
937	19655	1299
938	19679	1278
939	19703	1257
940	19722	1236
941	19743	1215
942	19765	1194
943	19785	1173
944	19800	1152
945	19820	1131
946	19841	1110
947	19864	1089
948	19881	1068
949	19901	1047
950	19922	1026
951	19945	1005
952	19965	984
953	19987	963
954	20009	942
955	20030	921
956	20053	901
957	20078	880
958	20096	859
959	20112	838
960	20132	817
961	20152	796
962	20170	774
963	20188	753
964	20209	732
965	20225	711
966	20250	691
967	20267	669
968	20291	649
969	20310	628
970	20332	607
971	20353	586
972	20373	565
973	20394	544
974	20411	523
975	20433	502
976	20456	481
977	20475	460
978	20501	439
979	20524	418
980	20543	397
981	20565	376
982	20586	356
983	20606	335
984	20626	314
985	20644	293
986	20661	272
987	20683	251
988	20705	230
989	20727	209
990	20751	188
991	20768	167
992	20788	146
993	20810	125
994	20831	104
995	20852	83
996	20874	62
997	20894	41
998	20916	20
999	20937	0
