iter	RMSE
0	62.67549236
1	62.15630484
2	61.59156472
3	60.86489343
4	60.42789149
5	59.9358057
6	59.52171063
7	58.93658748
8	58.4883733
9	58.22731208
10	57.98563115
11	57.77095922
12	57.55621204
13	57.0106052
14	56.81335863
15	56.5362117
16	56.38144133
17	56.21171212
18	56.06596053
19	55.73802984
20	55.49357735
21	55.35493442
22	54.98449119
23	54.6856677
24	54.49443034
25	54.34805104
26	54.09362229
27	53.93431545
28	53.82099935
29	53.72068902
30	53.40102114
31	52.94861872
32	52.83531549
33	52.7449749
34	52.48243935
35	52.25486091
36	51.95259238
37	51.77297922
38	51.52358342
39	51.12324209
40	50.98942529
41	50.83657655
42	50.68453515
43	50.50082533
44	50.4242358
45	50.33069394
46	50.28062701
47	50.06704892
48	49.74260891
49	49.49994135
50	49.42640741
51	49.17659703
52	49.09548794
53	48.99346001
54	48.94149422
55	48.81639387
56	48.6840369
57	48.57356481
58	48.54006994
59	48.41424168
60	48.35559709
61	48.14263603
62	48.07146843
63	47.96958317
64	47.86039098
65	47.80343701
66	47.62540419
67	47.50512325
68	47.45693923
69	47.37713122
70	47.16338923
71	47.07104497
72	46.93259199
73	46.85152829
74	46.78737135
75	46.70201232
76	46.58271553
77	46.51000018
78	46.39517392
79	46.36821417
80	46.26922263
81	46.22246067
82	46.16637599
83	46.1362486
84	46.08449729
85	46.0475604
86	45.91700355
87	45.86012935
88	45.6630063
89	45.5706063
90	45.49047096
91	45.46112323
92	45.41389403
93	45.37110617
94	45.27661543
95	45.22828218
96	45.07708462
97	44.84252796
98	44.82495386
99	44.69489795
100	44.66316253
101	44.50264214
102	44.42534566
103	44.36251051
104	44.34060631
105	44.15365963
106	44.10612203
107	43.96844103
108	43.9464416
109	43.91012914
110	43.87250224
111	43.78370134
112	43.53385356
113	43.46413965
114	43.36524269
115	43.22795853
116	43.19414081
117	43.15924128
118	42.89220304
119	42.85392129
120	42.79041735
121	42.75721154
122	42.45256178
123	42.39508593
124	42.32598235
125	42.17711624
126	42.14702053
127	42.11567152
128	42.10413016
129	42.07476731
130	42.02676287
131	41.94175099
132	41.82529879
133	41.77819283
134	41.71076162
135	41.66870833
136	41.57191269
137	41.48504596
138	41.44052188
139	41.40316127
140	41.39570723
141	41.37853813
142	41.34879099
143	41.27149837
144	41.25808735
145	41.01748965
146	40.93352437
147	40.80031835
