Model,Accuracy,Precision,F1
KNN,0.4603960396039604,0.2722833995394721,0.2815393242249956
Decision Tree 1,0.4900990099009901,0.19603960396039605,0.21225998807394159
Decision Tree 2,0.3564356435643564,0.2770469365515805,0.24663905929175778
Random Forest 1,0.26732673267326734,0.27975274621404533,0.21847169975204564
Random Forest 2,0.3415841584158416,0.31569836286678854,0.27191829334077633
