,Model,RMSE,MSE,Correlation Coefficient,R-squared
0,Best model,51.010209792742785,2602.041503099632,0.9341372104811725,0.6967486619820205
1,Default parameters,51.14042778786785,2615.343354326126,0.928097459866992,0.6951984160778928
